control,ano,kilogram
sem_classificacao,1970,3675463
sem_classificacao,1971,665425
sem_classificacao,1972,197232
sem_classificacao,1973,491357
sem_classificacao,1974,57307
sem_classificacao,1975,540146
sem_classificacao,1976,24440
sem_classificacao,1977,9743
sem_classificacao,1978,85475
sem_classificacao,1979,2317099
sem_classificacao,1980,306970
sem_classificacao,1981,494703
sem_classificacao,1982,1719913
sem_classificacao,1983,21742
sem_classificacao,1984,99929
sem_classificacao,1985,104929
sem_classificacao,1986,12689
sem_classificacao,1987,99743
sem_classificacao,1988,0
sem_classificacao,1989,0
sem_classificacao,1990,0
sem_classificacao,1991,0
sem_classificacao,1992,0
sem_classificacao,1993,0
sem_classificacao,1994,0
sem_classificacao,1995,0
sem_classificacao,1996,0
sem_classificacao,1997,0
sem_classificacao,1998,0
sem_classificacao,1999,0
sem_classificacao,2000,152517
sem_classificacao,2001,0
sem_classificacao,2002,0
sem_classificacao,2003,0
sem_classificacao,2004,0
sem_classificacao,2005,0
sem_classificacao,2006,0
sem_classificacao,2007,0
sem_classificacao,2008,0
sem_classificacao,2009,0
sem_classificacao,2010,0
sem_classificacao,2011,0
sem_classificacao,2012,0
sem_classificacao,2013,0
sem_classificacao,2014,0
sem_classificacao,2015,0
sem_classificacao,2016,0
sem_classificacao,2017,0
sem_classificacao,2018,0
sem_classificacao,2019,
sem_classificacao,2020,166947
sem_classificacao,2021,0
sem_classificacao,2022,
sem_classificacao,2023,0
